date,Installed Capacity (kWp),This Month Full Load Hours (h),Monthly Yield (kWh),This Month Earning,Total Yield (kWh),Production
2025-01-01,14.2,16.34,232.0,23.2,8388.7,0.1
2025-01-02,14.2,16.34,232.0,23.2,8388.7,0.2
2025-01-03,14.2,16.34,232.0,23.2,8388.7,0.2
2025-01-04,14.2,16.34,232.0,23.2,8388.7,0.1
2025-01-05,14.2,16.34,232.0,23.2,8388.7,0.2
2025-01-06,14.2,16.34,232.0,23.2,8388.7,0.1
2025-01-07,14.2,16.34,232.0,23.2,8388.7,0.2
2025-01-08,14.2,16.34,232.0,23.2,8388.7,6.3
2025-01-09,14.2,16.34,232.0,23.2,8388.7,18.5
2025-01-10,14.2,16.34,232.0,23.2,8388.7,4.0
2025-01-11,14.2,16.34,232.0,23.2,8388.7,0.8
2025-01-12,14.2,16.34,232.0,23.2,8388.7,1.0
2025-01-13,14.2,16.34,232.0,23.2,8388.7,0.5
2025-01-14,14.2,16.34,232.0,23.2,8388.7,1.4
2025-01-15,14.2,16.34,232.0,23.2,8388.7,10.4
2025-01-16,14.2,16.34,232.0,23.2,8388.7,13.0
2025-01-17,14.2,16.34,232.0,23.2,8388.7,13.3
2025-01-18,14.2,16.34,232.0,23.2,8388.7,5.4
2025-01-19,14.2,16.34,232.0,23.2,8388.7,6.4
2025-01-20,14.2,16.34,232.0,23.2,8388.7,4.8
2025-01-21,14.2,16.34,232.0,23.2,8388.7,16.5
2025-01-22,14.2,16.34,232.0,23.2,8388.7,8.3
2025-01-23,14.2,16.34,232.0,23.2,8388.7,15.8
2025-01-24,14.2,16.34,232.0,23.2,8388.7,15.4
2025-01-25,14.2,16.34,232.0,23.2,8388.7,22.3
2025-01-26,14.2,16.34,232.0,23.2,8388.7,30.6
2025-01-27,14.2,16.34,232.0,23.2,8388.7,21.1
2025-01-28,14.2,16.34,232.0,23.2,8388.7,14.6
2025-01-29,14.2,16.34,232.0,23.2,8388.7,0.5
2025-01-30,14.2,16.34,232.0,23.2,8388.7,0.4
2025-01-31,14.2,16.34,232.0,23.2,8388.7,0.4
2025-02-01,14.2,18.38,261.0,26.1,8388.7,0.3
2025-02-02,14.2,18.38,261.0,26.1,8388.7,0.1
2025-02-03,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-04,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-05,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-06,14.2,18.38,261.0,26.1,8388.7,0.1
2025-02-07,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-08,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-09,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-10,14.2,18.38,261.0,26.1,8388.7,0.3
2025-02-11,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-12,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-13,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-14,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-15,14.2,18.38,261.0,26.1,8388.7,0.2
2025-02-16,14.2,18.38,261.0,26.1,8388.7,0.3
2025-02-17,14.2,18.38,261.0,26.1,8388.7,0.4
2025-02-18,14.2,18.38,261.0,26.1,8388.7,0.4
2025-02-19,14.2,18.38,261.0,26.1,8388.7,0.5
2025-02-20,14.2,18.38,261.0,26.1,8388.7,0.3
2025-02-21,14.2,18.38,261.0,26.1,8388.7,2.8
2025-02-22,14.2,18.38,261.0,26.1,8388.7,23.5
2025-02-23,14.2,18.38,261.0,26.1,8388.7,36.2
2025-02-24,14.2,18.38,261.0,26.1,8388.7,43.3
2025-02-25,14.2,18.38,261.0,26.1,8388.7,44.3
2025-02-26,14.2,18.38,261.0,26.1,8388.7,25.0
2025-02-27,14.2,18.38,261.0,26.1,8388.7,35.4
2025-02-28,14.2,18.38,261.0,26.1,8388.7,46.5
2025-03-01,14.2,65.7,933.0,93.3,8388.7,35.4
2025-03-02,14.2,65.7,933.0,93.3,8388.7,42.6
2025-03-03,14.2,65.7,933.0,93.3,8388.7,37.4
2025-03-04,14.2,65.7,933.0,93.3,8388.7,48.2
2025-03-05,14.2,65.7,933.0,93.3,8388.7,47.9
2025-03-06,14.2,65.7,933.0,93.3,8388.7,49.3
2025-03-07,14.2,65.7,933.0,93.3,8388.7,44.8
2025-03-08,14.2,65.7,933.0,93.3,8388.7,40.4
2025-03-09,14.2,65.7,933.0,93.3,8388.7,13.0
2025-03-10,14.2,65.7,933.0,93.3,8388.7,24.7
2025-03-11,14.2,65.7,933.0,93.3,8388.7,43.9
2025-03-12,14.2,65.7,933.0,93.3,8388.7,15.0
2025-03-13,14.2,65.7,933.0,93.3,8388.7,6.7
2025-03-14,14.2,65.7,933.0,93.3,8388.7,3.4
2025-03-15,14.2,65.7,933.0,93.3,8388.7,2.8
2025-03-16,14.2,65.7,933.0,93.3,8388.7,7.5
2025-03-17,14.2,65.7,933.0,93.3,8388.7,15.8
2025-03-18,14.2,65.7,933.0,93.3,8388.7,53.4
2025-03-19,14.2,65.7,933.0,93.3,8388.7,50.0
2025-03-20,14.2,65.7,933.0,93.3,8388.7,37.2
2025-03-21,14.2,65.7,933.0,93.3,8388.7,48.3
2025-03-22,14.2,65.7,933.0,93.3,8388.7,52.0
2025-03-23,14.2,65.7,933.0,93.3,8388.7,53.9
2025-03-24,14.2,65.7,933.0,93.3,8388.7,45.4
2025-03-25,14.2,65.7,933.0,93.3,8388.7,53.0
2025-03-26,14.2,65.7,933.0,93.3,8388.7,41.8
2025-03-27,14.2,65.7,933.0,93.3,8388.7,0.5
2025-03-28,14.2,65.7,933.0,93.3,8388.7,0.2
2025-03-29,14.2,65.7,933.0,93.3,8388.7,0.6
2025-03-30,14.2,65.7,933.0,93.3,8388.7,1.0
2025-03-31,14.2,65.7,933.0,93.3,8388.7,17.5
2025-04-01,14.2,113.1,1606.0,160.6,8388.7,38.8
2025-04-02,14.2,113.1,1606.0,160.6,8388.7,56.3
2025-04-03,14.2,113.1,1606.0,160.6,8388.7,49.1
2025-04-04,14.2,113.1,1606.0,160.6,8388.7,58.3
2025-04-05,14.2,113.1,1606.0,160.6,8388.7,56.8
2025-04-06,14.2,113.1,1606.0,160.6,8388.7,56.5
2025-04-07,14.2,113.1,1606.0,160.6,8388.7,39.9
2025-04-08,14.2,113.1,1606.0,160.6,8388.7,38.0
2025-04-09,14.2,113.1,1606.0,160.6,8388.7,55.5
2025-04-10,14.2,113.1,1606.0,160.6,8388.7,52.4
2025-04-11,14.2,113.1,1606.0,160.6,8388.7,51.0
2025-04-12,14.2,113.1,1606.0,160.6,8388.7,51.333999999999975
2025-04-13,14.2,113.1,1606.0,160.6,8388.7,51.0
2025-04-14,14.2,113.1,1606.0,160.6,8388.7,51.84149999999993
2025-04-15,14.2,113.1,1606.0,160.6,8388.7,47.71149999999996
2025-04-16,14.2,113.1,1606.0,160.6,8388.7,43.9
2025-04-17,14.2,113.1,1606.0,160.6,8388.7,78.8
2025-04-18,14.2,113.1,1606.0,160.6,8388.7,58.25749999999999
2025-04-19,14.2,113.1,1606.0,160.6,8388.7,43.604999999999954
2025-04-20,14.2,113.1,1606.0,160.6,8388.7,54.885999999999946
2025-04-21,14.2,113.1,1606.0,160.6,8388.7,38.60849999999999
2025-04-22,14.2,113.1,1606.0,160.6,8388.7,41.25599999999998
2025-04-23,14.2,113.1,1606.0,160.6,8388.7,49.43299999999993
2025-04-24,14.2,113.1,1606.0,160.6,8388.7,49.896
2025-04-25,14.2,113.1,1606.0,160.6,8388.7,58.52650000000004
2025-04-26,14.2,113.1,1606.0,160.6,8388.7,81.0
2025-04-27,14.2,113.1,1606.0,160.6,8388.7,5.8
2025-04-28,14.2,113.1,1606.0,160.6,8388.7,41.80550000000003
2025-04-29,14.2,113.1,1606.0,160.6,8388.7,35.1
2025-04-30,14.2,113.1,1606.0,160.6,8388.7,27.5
2025-05-01,14.2,126.48,1796.0,179.6,8388.7,33.1
2025-05-02,14.2,126.48,1796.0,179.6,8388.7,86.8
2025-05-03,14.2,126.48,1796.0,179.6,8388.7,80.8
2025-05-04,14.2,126.48,1796.0,179.6,8388.7,0.1
2025-05-05,14.2,126.48,1796.0,179.6,8388.7,34.53350000000004
2025-05-06,14.2,126.48,1796.0,179.6,8388.7,82.28150000000007
2025-05-07,14.2,126.48,1796.0,179.6,8388.7,53.1
2025-05-08,14.2,126.48,1796.0,179.6,8388.7,5.9
2025-05-09,14.2,126.48,1796.0,179.6,8388.7,67.5
2025-05-10,14.2,126.48,1796.0,179.6,8388.7,70.1
2025-05-11,14.2,126.48,1796.0,179.6,8388.7,83.1
2025-05-12,14.2,126.48,1796.0,179.6,8388.7,21.9
2025-05-13,14.2,126.48,1796.0,179.6,8388.7,73.55650000000001
2025-05-14,14.2,126.48,1796.0,179.6,8388.7,58.4
2025-05-15,14.2,126.48,1796.0,179.6,8388.7,10.0
2025-05-16,14.2,126.48,1796.0,179.6,8388.7,7.5
2025-05-17,14.2,126.48,1796.0,179.6,8388.7,77.0
2025-05-18,14.2,126.48,1796.0,179.6,8388.7,42.0
2025-05-19,14.2,126.48,1796.0,179.6,8388.7,21.3
2025-05-20,14.2,126.48,1796.0,179.6,8388.7,17.4
2025-05-21,14.2,126.48,1796.0,179.6,8388.7,30.7
2025-05-22,14.2,126.48,1796.0,179.6,8388.7,52.9
2025-05-23,14.2,126.48,1796.0,179.6,8388.7,21.6
2025-05-24,14.2,126.48,1796.0,179.6,8388.7,94.2
2025-05-25,14.2,126.48,1796.0,179.6,8388.7,95.2
2025-05-26,14.2,126.48,1796.0,179.6,8388.7,83.7
2025-05-27,14.2,126.48,1796.0,179.6,8388.7,75.2
2025-05-28,14.2,126.48,1796.0,179.6,8388.7,89.92050000000016
2025-05-29,14.2,126.48,1796.0,179.6,8388.7,91.4315000000001
2025-05-30,14.2,126.48,1796.0,179.6,8388.7,93.4
2025-05-31,14.2,126.48,1796.0,179.6,8388.7,68.8
2025-06-01,14.2,111.82,1587.8,158.78,8388.7,24.3
2025-06-02,14.2,111.82,1587.8,158.78,8388.7,67.2
2025-06-03,14.2,111.82,1587.8,158.78,8388.7,79.0
2025-06-04,14.2,111.82,1587.8,158.78,8388.7,73.2
2025-06-05,14.2,111.82,1587.8,158.78,8388.7,86.3
2025-06-06,14.2,111.82,1587.8,158.78,8388.7,41.8
2025-06-07,14.2,111.82,1587.8,158.78,8388.7,37.6
2025-06-08,14.2,111.82,1587.8,158.78,8388.7,87.1
2025-06-09,14.2,111.82,1587.8,158.78,8388.7,95.0
2025-06-10,14.2,111.82,1587.8,158.78,8388.7,83.5
2025-06-11,14.2,111.82,1587.8,158.78,8388.7,62.0
2025-06-12,14.2,111.82,1587.8,158.78,8388.7,14.6
2025-06-13,14.2,111.82,1587.8,158.78,8388.7,23.6
2025-06-14,14.2,111.82,1587.8,158.78,8388.7,32.7
2025-06-15,14.2,111.82,1587.8,158.78,8388.7,80.3
2025-06-16,14.2,111.82,1587.8,158.78,8388.7,92.6
2025-06-17,14.2,111.82,1587.8,158.78,8388.7,82.7
2025-06-18,14.2,111.82,1587.8,158.78,8388.7,79.4
2025-06-19,14.2,111.82,1587.8,158.78,8388.7,34.5
2025-06-26,14.2,111.82,1587.8,158.78,8388.7,89.8
2025-06-27,14.2,111.82,1587.8,158.78,8388.7,78.6
2025-06-28,14.2,111.82,1587.8,158.78,8388.7,56.3
2025-06-29,14.2,111.82,1587.8,158.78,8388.7,93.6
2025-06-30,14.2,111.82,1587.8,158.78,8388.7,92.1
2025-07-01,14.2,0.04,0.5,0.05,8388.7,74.5
2025-07-02,14.2,0.04,0.5,0.05,8388.7,86.0
2025-07-03,14.2,0.04,0.5,0.05,8388.7,21.0
2025-07-04,14.2,0.04,0.5,0.05,8388.7,43.8
2025-07-05,14.2,0.04,0.5,0.05,8388.7,86.1
2025-07-06,14.2,0.04,0.5,0.05,8388.7,32.6
2025-07-07,14.2,0.04,0.5,0.05,8388.7,75.9
2025-07-08,14.2,0.04,0.5,0.05,8388.7,85.7
2025-07-09,14.2,0.04,0.5,0.05,8388.7,74.0
2025-07-10,14.2,0.04,0.5,0.05,8388.7,54.3
2025-07-11,14.2,0.04,0.5,0.05,8388.7,10.1
2025-07-16,14.2,0.04,0.5,0.05,8388.7,3.2
2025-07-17,,,,,,62.08333333333332
2025-07-18,,,,,,62.08333333333332
2025-07-19,,,,,,62.08333333333332
2025-07-20,,,,,,62.08333333333332
2025-07-21,,,,,,62.08333333333332
2025-07-22,,,,,,62.08333333333332
2025-07-23,,,,,,62.08333333333332
2025-07-24,,,,,,62.08333333333332
2025-07-25,,,,,,62.08333333333332
2025-07-26,,,,,,62.08333333333332
2025-07-27,,,,,,62.08333333333332
2025-07-28,,,,,,62.08333333333332
2025-07-29,,,,,,62.08333333333332
2025-07-30,,,,,,62.08333333333332
2025-07-31,,,,,,62.08333333333332
2025-10-03,14.2,64.23,912.1,91.21,8388.7,49.0
2025-10-04,14.2,64.23,912.1,91.21,8388.7,33.1
2025-10-05,14.2,64.23,912.1,91.21,8388.7,57.8
2025-10-06,14.2,64.23,912.1,91.21,8388.7,24.3
2025-10-07,14.2,64.23,912.1,91.21,8388.7,30.2
2025-10-08,14.2,64.23,912.1,91.21,8388.7,39.6
2025-10-09,14.2,64.23,912.1,91.21,8388.7,53.7
2025-10-10,14.2,64.23,912.1,91.21,8388.7,49.5
2025-10-11,14.2,64.23,912.1,91.21,8388.7,9.9
2025-10-12,14.2,64.23,912.1,91.21,8388.7,12.4
2025-10-13,14.2,64.23,912.1,91.21,8388.7,40.5
2025-10-14,14.2,64.23,912.1,91.21,8388.7,52.2
2025-10-15,14.2,64.23,912.1,91.21,8388.7,48.5
2025-10-16,14.2,64.23,912.1,91.21,8388.7,48.3
2025-10-17,14.2,64.23,912.1,91.21,8388.7,45.1
2025-10-18,14.2,64.23,912.1,91.21,8388.7,49.0
2025-10-19,14.2,64.23,912.1,91.21,8388.7,15.9
2025-10-20,14.2,64.23,912.1,91.21,8388.7,10.7
2025-10-21,14.2,64.23,912.1,91.21,8388.7,33.9
2025-10-22,14.2,64.23,912.1,91.21,8388.7,3.3
2025-10-23,14.2,64.23,912.1,91.21,8388.7,41.6
2025-10-24,14.2,64.23,912.1,91.21,8388.7,13.5
2025-10-25,14.2,64.23,912.1,91.21,8388.7,31.2
2025-10-26,14.2,64.23,912.1,91.21,8388.7,7.6
2025-10-27,14.2,64.23,912.1,91.21,8388.7,6.9
2025-10-28,14.2,64.23,912.1,91.21,8388.7,42.7
2025-10-29,14.2,64.23,912.1,91.21,8388.7,23.7
2025-10-30,14.2,64.23,912.1,91.21,8388.7,21.0
2025-10-31,14.2,64.23,912.1,91.21,8388.7,17.0
2025-11-01,14.2,35.17,499.4,49.94,8388.7,14.9
2025-11-02,14.2,35.17,499.4,49.94,8388.7,35.7
2025-11-03,14.2,35.17,499.4,49.94,8388.7,29.6
2025-11-04,14.2,35.17,499.4,49.94,8388.7,37.9
2025-11-05,14.2,35.17,499.4,49.94,8388.7,19.5
2025-11-06,14.2,35.17,499.4,49.94,8388.7,1.1
2025-11-07,14.2,35.17,499.4,49.94,8388.7,0.3
2025-11-08,14.2,35.17,499.4,49.94,8388.7,3.3
2025-11-09,14.2,35.17,499.4,49.94,8388.7,13.7
2025-11-10,14.2,35.17,499.4,49.94,8388.7,25.2
2025-11-11,14.2,35.17,499.4,49.94,8388.7,31.5
2025-11-12,14.2,35.17,499.4,49.94,8388.7,30.0
2025-11-13,14.2,35.17,499.4,49.94,8388.7,13.5
2025-11-14,14.2,35.17,499.4,49.94,8388.7,32.2
2025-11-15,14.2,35.17,499.4,49.94,8388.7,28.0
2025-11-16,14.2,35.17,499.4,49.94,8388.7,21.0
2025-11-17,14.2,35.17,499.4,49.94,8388.7,10.1
2025-11-18,14.2,35.17,499.4,49.94,8388.7,3.7
2025-11-19,14.2,35.17,499.4,49.94,8388.7,21.1
2025-11-20,14.2,35.17,499.4,49.94,8388.7,25.1
2025-11-21,14.2,35.17,499.4,49.94,8388.7,10.5
2025-11-22,14.2,35.17,499.4,49.94,8388.7,23.2
2025-11-23,14.2,35.17,499.4,49.94,8388.7,16.9
2025-11-24,14.2,35.17,499.4,49.94,8388.7,21.9
2025-11-25,14.2,35.17,499.4,49.94,8388.7,23.7
2025-11-26,14.2,35.17,499.4,49.94,8388.7,2.5
2025-11-27,14.2,35.17,499.4,49.94,8388.7,2.2
2025-11-28,14.2,35.17,499.4,49.94,8388.7,0.3
2025-11-29,14.2,35.17,499.4,49.94,8388.7,0.7
2025-11-30,14.2,35.17,499.4,49.94,8388.7,0.1
2025-12-01,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-02,14.2,0.0,0.0,0.0,8388.7,0.9
2025-12-03,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-04,14.2,0.0,0.0,0.0,8388.7,0.9
2025-12-05,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-06,14.2,0.0,0.0,0.0,8388.7,0.4
2025-12-07,14.2,0.0,0.0,0.0,8388.7,0.3
2025-12-08,14.2,0.0,0.0,0.0,8388.7,0.4
2025-12-09,14.2,0.0,0.0,0.0,8388.7,0.2
2025-12-10,14.2,0.0,0.0,0.0,8388.7,0.3
2025-12-11,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-12,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-13,14.2,0.0,0.0,0.0,8388.7,0.2860000000000003
2025-12-14,14.2,0.0,0.0,0.0,8388.7,0.2
2025-12-15,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-16,14.2,0.0,0.0,0.0,8388.7,0.2
2025-12-17,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-18,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-19,14.2,0.0,0.0,0.0,8388.7,0.2
2025-12-20,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-21,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-22,14.2,0.0,0.0,0.0,8388.7,0.1
2025-12-23,14.2,0.0,0.0,0.0,8388.7,0.2
2025-12-24,14.2,0.0,0.0,0.0,8388.7,0.1
